id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1320185,167959,1225,0.4920000000000001,0,,,,,,
1320186,167959,1226,1.048,0,,,,,,
1320187,167959,1004,4.54,4,1.0,4.41,4.68,,,
1320188,167959,1167,2.3080000000000003,4,1.0,2.16,2.57,,,
1320189,167959,1170,0.51,1,1.0,,,,,
1320190,167959,1175,0.157,1,1.0,,,,,
1320191,167959,1010,0.72,1,1.0,,,,,
1320192,167959,1011,0.07,1,1.0,,,,,
1320193,167959,1014,0.0,1,1.0,,,,,
1320194,167959,1051,3.32,4,1.0,2.68,3.92,,,
1320195,167959,2000,0.87,1,1.0,,,,,
1320196,167959,1087,7.0,4,1.0,6.0,7.0,,,
1320197,167959,1092,329.0,4,1.0,324.0,335.0,,,
1320198,167959,1095,3.08,4,1.0,3.03,3.14,,,
1320199,167959,1103,0.0,1,1.0,,,,,
1320200,167959,1242,0.0,0,68.0,,,,,
1320201,167959,1003,12.94,4,1.0,12.84,12.99,,,
1320202,167959,1007,1.42,4,1.0,1.25,1.66,,,
1320203,167959,1009,54.4,1,1.0,,,,,
1320204,167959,1012,0.07,1,1.0,,,,,
1320205,167959,1013,0.0,1,1.0,,,,,
1320206,167959,1246,0.0,0,68.0,,,,,
1320207,167959,1165,0.104,4,1.0,0.077,0.123,,,
1320208,167959,1166,0.083,4,1.0,0.07,0.09,,,
1320209,167959,1177,31.0,4,1.0,25.0,38.0,,,
1320210,167959,1075,0.0,1,1.0,,,,,
1320211,167959,1079,14.5,1,1.0,,,,,
1320212,167959,1089,3.19,4,1.0,3.05,3.27,,,
1320213,167959,1090,144.0,4,1.0,136.0,149.0,,,
1320214,167959,1091,358.0,4,1.0,342.0,368.0,,,
1320215,167959,1093,8.0,4,1.0,7.0,11.0,,,
1320216,167959,1098,0.262,4,1.0,0.243,0.276,,,
1320217,167959,1101,1.113,4,1.0,1.11,1.12,,,
1334384,168153,1186,0.0,0,68.0,,,,,
1334385,168153,1184,0.0,8,1.0,0.0,0.0,,,
1334386,168153,1185,40.3,8,1.0,33.9,50.3,,,
1334387,168153,1003,1.14,20,1.0,0.8,1.6,,,
1334388,168153,1007,0.61,20,1.0,0.4,0.72,,,
1334389,168153,1009,0.0,4,1.0,0.0,0.0,,,
1334390,168153,1012,4.35,8,1.0,4.04,4.8,,,
1334391,168153,1013,0.0,7,1.0,0.0,0.0,,,
1334392,168153,1075,0.17,8,1.0,0.0,0.82,,,
1334393,168153,1079,3.0,8,1.0,2.3,3.8,,,
1334394,168153,1089,0.31,21,1.0,0.17,0.7,,,
1334395,168153,1090,17.0,21,1.0,12.0,23.0,,,
1334396,168153,1091,34.0,19,1.0,25.0,42.0,,,
1334397,168153,1098,0.13,21,1.0,0.077,0.182,,,
1334398,168153,1101,0.098,17,1.0,0.069,0.16,,,
1334399,168153,1104,87.0,18,1.0,53.0,120.0,,,
1334400,168153,1106,4.0,18,1.0,3.0,6.0,,,
1334401,168153,1107,52.0,18,1.0,32.0,70.0,,,
1334402,168153,1108,0.0,6,1.0,0.0,0.0,,,
1334403,168153,1120,0.0,6,1.0,0.0,0.0,,,
1334404,168153,1122,0.0,6,1.0,0.0,0.0,,,
1334405,168153,1127,0.0,4,1.0,0.0,0.0,,,
1334406,168153,1130,0.1,4,1.0,0.07,0.14,,,
1334407,168153,1131,0.0,4,1.0,0.0,0.0,,,
1334408,168153,1162,92.7,16,1.0,77.4,118.0,,,
1334409,168153,1165,0.027000000000000003,2,1.0,0.015,0.038,,,
1334410,168153,1166,0.025,18,1.0,0.02,0.034,,,
1334411,168153,1177,25.0,17,1.0,20.0,35.0,,,
1334412,168153,1210,0.015,0,1.0,,,,,
1334413,168153,1211,0.047,0,1.0,,,,,
1334414,168153,1215,0.024,0,1.0,,,,,
1334415,168153,1217,0.044,0,1.0,,,,,
1334416,168153,1218,0.034,0,1.0,,,,,
1334417,168153,1222,0.053,0,1.0,,,,,
1334418,168153,1224,0.184,0,1.0,,,,,
1334419,168153,1225,0.06,0,1.0,,,,,
1334420,168153,1226,0.044,0,1.0,,,,,
